Participant,Condition,Willingness_to_Admit_Mistakes,Anxiety
1,Neutral Researcher,15,5
2,Developer Observer,14,4
3,Developer Observer,19,2
4,Developer Observer,10,1
5,Neutral Researcher,18,7
6,Neutral Researcher,19,6
7,Developer Observer,10,6
8,Neutral Researcher,17,6
9,Developer Observer,12,4
10,Developer Observer,13,1
11,Neutral Researcher,15,5
12,Neutral Researcher,14,4
13,Neutral Researcher,16,6
14,Developer Observer,9,3
15,Developer Observer,10,7
16,Developer Observer,11,4
17,Developer Observer,12,5
18,Neutral Researcher,17,5
19,Neutral Researcher,18,6
